Symbol,Name,Market Cap,P/E ttm,EPS ttm,Net Income(a),Beta,Dividend(a),Div Yield
MLHR,Miller Herman Inc,1883065000,10.8,2.97,-9100000,1.45,0,0.00%
MMS,Maximus Inc,4028876000,19.71,3.31,240820000,0.93,1.12,1.70%
MOH,Molina Healthcare Inc,11095621000,13.9,13.34,737000000,0.64,0,0.00%
MPW,Medical Properties Trust,9592958000,12.02,0.85,374680000,0.51,1.08,5.95%
MPWR,Monolithic Power Sys,14310626000,115.06,2.64,108840000,1.17,2,0.63%
MRCY,Mercury Sys Inc,3977750000,36.74,1.92,85710000,1,0,0.00%
MSA,Msa Safety Inc,5103913000,30.11,4.73,136440000,0.96,1.72,1.31%
MSM,Msc Industrial Direct Company,3742215000,14.28,4.91,288800000,0.89,3,4.44%
MTX,Minerals Technologies Inc,1877623000,13.44,3.99,132700000,1.68,0.2,0.36%
MTZ,Mastec Inc,3569100000,10.75,4.38,392330000,1.41,0,0.00%
MUR,Murphy Oil Corp,1198072000,0,-0.49,1149730000,3.29,0.5,6.41%
MUSA,Murphy USA Inc,3666506000,9.65,12.74,154800000,1.06,0,0.00%
NATI,Natl Instruments Cor,4404421000,28.36,1.17,162150000,0.97,1.04,3.10%
NAVI,Navient Cp,1584384000,2.61,3.09,597000000,1.86,0.64,7.83%
NCR,NCR Corp,2607804000,9.95,2.16,564000000,1.63,0,0.00%
NDSN,Nordson Corp,11328430000,33.67,5.68,337090000,1.07,1.56,0.80%
NEU,Newmarket Corp,3848413000,14.47,20.26,254290000,0.48,7.6,2.16%
NFG,National Fuel Gas Company,3620879000,12.81,3.09,304290000,0.71,1.78,4.47%
NGVT,Ingevity Corp,2218998000,11.5,4.64,183700000,2.3,0,0.00%
NJR,Newjersey Resources Corp,2778133000,16.18,1.79,169510000,0.39,1.33,4.59%
NKTR,Nektar Therapeutics,2899969000,0,-2.18,-440670000,1.82,0,0.00%
NNN,National Retail Properties,5652198000,11.72,1.28,299180000,0.61,2.08,6.39%
